bestEpoch=118	 MRR = 0.4952	 Hit@5=0.4983	 NDCG@5=0.4775	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=124	 MRR = 0.4957	 Hit@5=0.4991	 NDCG@5=0.4785	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=128	 MRR = 0.5037	 Hit@5=0.5015	 NDCG@5=0.4853	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=138	 MRR = 0.5058	 Hit@5=0.5067	 NDCG@5=0.4886	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=140	 MRR = 0.51	 Hit@5=0.5068	 NDCG@5=0.4917	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=144	 MRR = 0.5102	 Hit@5=0.5079	 NDCG@5=0.4923	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.1299	 Hit@5=0.1453	 NDCG@5=0.1147	 dataset=./DataProcess/Tmall/天猫加购sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.2547	 Hit@5=0.3163	 NDCG@5=0.2495	 dataset=./DataProcess/Tmall/天猫收藏sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.2546	 Hit@5=0.3362	 NDCG@5=0.2531	 dataset=./DataProcess/Tmall/天猫购买sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.333	 Hit@5=0.4431	 NDCG@5=0.3388	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=30	 MRR = 0.336	 Hit@5=0.4432	 NDCG@5=0.3412	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
